0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:34:53 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:35:06 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:35:06 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:35:55 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:35:55 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:36:44 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:36:44 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:36:52 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:36:52 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:37:34 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:37:34 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:43:48 +0530] "GET /learnhtml/htmlwithcss.html HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:48:38 +0530] "GET /learnhtml/htmlwithcss.html HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:50:49 +0530] "GET /learnhtml/htmlwithexternalcss.html HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:52:06 +0530] "GET /learnhtml/htmlwithexternalcss.html HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:52:06 +0530] "GET /learnhtml/styles.css HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:52:07 +0530] "GET /learnhtml/htmlwithexternalcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:52:07 +0530] "GET /learnhtml/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:52:07 +0530] "GET /learnhtml/htmlwithexternalcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:52:07 +0530] "GET /learnhtml/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:52:07 +0530] "GET /learnhtml/htmlwithexternalcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:52:07 +0530] "GET /learnhtml/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:52:15 +0530] "GET /learnhtml/htmlwithexternalcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:52:15 +0530] "GET /learnhtml/styles.css HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:00:00 +0530] "GET /learnhtml/htmlwithexternalcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:00:00 +0530] "GET /learnhtml/styles.css HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:00:28 +0530] "GET /learnhtml/htmlwithexternalcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:00:28 +0530] "GET /learnhtml/styles.css HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:00:50 +0530] "GET /learnhtml/htmlwithexternalcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:00:50 +0530] "GET /learnhtml/styles.css HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:01:30 +0530] "GET /learnhtml/htmlwithexternalcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:01:30 +0530] "GET /learnhtml/styles.css HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:02:03 +0530] "GET /learnhtml/htmlwithexternalcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:02:03 +0530] "GET /learnhtml/styles.css HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:02:43 +0530] "GET /learnhtml/htmlwithexternalcss.html HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:02:43 +0530] "GET /learnhtml/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:02:58 +0530] "GET /learnhtml/htmlwithexternalcss.html HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [17/Aug/2016:16:02:58 +0530] "GET /learnhtml/styles.css HTTP/1.1" 304 -
