127.0.0.1 - - [21/Aug/2016:00:00:26 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:27 +0530] "GET /interceptors_struts/ HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/xhtml/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/dojo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/simple/dojoRequire.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/ajax/dojoRequire.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/CommonFunctions.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/src/debug.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/src/browser_debug.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/src/i18n/calendar/nls/en-us/gregorian.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/src/i18n/calendar/nls/en/gregorianExtras.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/src/i18n/calendar/nls/en-us/gregorianExtras.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/iteAction.action HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/src/widget/nls/en/TimePicker.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/src/widget/nls/en-us/TimePicker.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/src/widget/nls/en/DropdownTimePicker.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/src/widget/nls/en-us/DropdownTimePicker.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/src/widget/templates/images/tab_close.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/struts/ComboBox.css HTTP/1.1" 200 2260
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/src/widget/templates/ComboBox.html HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [21/Aug/2016:00:00:30 +0530] "GET /interceptors_struts/struts/dojo/src/widget/templates/images/combo_box_arrow.png HTTP/1.1" 200 348
