0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:26:45 +0530] "GET /hotel/reviews.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:26:54 +0530] "GET /hotel/contact.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:27:30 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:27:30 +0530] "GET /hotel/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:27:31 +0530] "GET /hotel/roomtypes.jsp HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:28:13 +0530] "GET /hotel/contact.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:32:50 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:32:50 +0530] "GET /hotel/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:32:51 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:32:51 +0530] "GET /hotel/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:33:11 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 4310
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:33:11 +0530] "GET /hotel/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:33:12 +0530] "GET /hotel/signin.jsp HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:36:33 +0530] "GET /hotel/signin.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:37:16 +0530] "GET /hotel/signin.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:39:34 +0530] "GET /hotel/signin.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:43:44 +0530] "GET /hotel/signin.jsp HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:44:14 +0530] "GET /hotel/signin.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:44:39 +0530] "GET /hotel/signin.jsp HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:44:42 +0530] "GET /hotel/signin.jsp HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:45:02 +0530] "GET /hotel/signin.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:45:17 +0530] "GET /hotel/roomtypes.jsp HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:47:14 +0530] "GET /hotel/roomtypes.jsp HTTP/1.1" 200 2274
